Card_ID,Card Network,Card Type,Segment,Issuer Bank,Issuance Country,Issue_Date,Expiry_Date,Status,_source_extract_date
CARD00596,Meridian  Primary,Debit,Consumer,Meridian Community Bank,Australia,2023-03-02,03/02/2027,Active,2026-01-05
CARD00398,MERIDIAN PRIMARY,Prepaid,Consumer,  EuroTrust Bank,US,07/13/2022,2026-07-13,Blocked ,2026-01-05
CARD00328,Meridian Primary,Credit,Consumer,Alta Financial,US,2020-09-30,2024-09-30,Active ,2026-01-05
CARD00279,Meridian Direct,Credit,Consumer,Ridgeway Bank,SG,2020-11-18,18-11-2024,Active,2026-01-05
CARD00265,MERIDIAN DIRECT,Credit,Commercial,Andes Financial Group,Australia,06/27/2025,2029-06-27,Active,2026-01-05
CARD00635,Meridian Primary,Credit,Consumer,Andes Financial Group,United States,06/13/2022,2026-06-13,Active,2026-01-05
CARD00111,Meridian  Primary,Debit,Consumer,Alta Financial,IN,2022-08-16,16-08-2026,Active,2026-01-05
CARD00229,Meridian Direct,Credit,Consumer,Crestview  Bank,Brazil,27-09-2022,2026-09-27,Active,2026-01-05
CARD00303,MERIDIAN PRIMARY,Debit,Consumer,Alta Financial,JP,03/17/2021,2025-03-17,ACTIVE,2026-01-05
CARD00508,meridian direct,Debit,Commercial,Gulf Horizon Bank,GB,2019-10-23,2023-10-23,Active,2026-01-05
CARD00035,Meridian Affiliate,Credit,Commercial,Silverline Bank,br,17-12-2019,17-12-2023,expired,2026-01-05
CARD00739,Meridian Primary,Credit,Consumer,Pacific Rim Bank,Australia,2023-05-09,2027-05-09,Active,2026-01-05
CARD00745,MERIDIAN PRIMARY,Prepaid,Commercial,Unity Trust Bank,AE,2024-03-18,03/18/2028,Active,2026-01-05
CARD00149,Meridian Primary,Debit,Consumer,Alta Financial,IN,2023-01-06,2027-01-06, Active,2026-01-05
CARD00598,meridian primary,Credit,Commercial,Andes Financial Group,US,2023-03-01,03/01/2027,Active,2026-01-05
CARD00442,Meridian Affiliate,Debit,Consumer,Crestview Bank,IN,2023-04-12,2027-04-12,Active,2026-01-05
CARD00509,Meridian Affiliate,Credit,Consumer,EuroTrust Bank,US,09/02/2022,02-09-2026,Active,2026-01-05
CARD00327,Meridian Primary,Credit,Consumer,Harbor National Bank,India,2024-04-20,2028-04-20,ACTIVE,2026-01-05
CARD00154,Meridian Primary,Prepaid,Consumer,Alta Financial,US,2024-01-10,2028-01-10,active,2026-01-05
CARD00792,Meridian Primary,Prepaid,Consumer,Harbor National Bank,Germany,13-11-2024,2028-11-13,Active,2026-01-05
CARD00386,meridian direct,Prepaid,Consumer,Andes Financial Group,JP,43494,44955,ACTIVE,2026-01-05
CARD00611,meridian primary,Credit,Consumer,Meridian Community Bank,IN,03/10/2020,03/10/2024,Active,2026-01-05
CARD00380,Meridian Primary,Credit,Consumer,Pacific Rim Bank,MX,2023-02-21,02/21/2027,Active,2026-01-05
CARD00189,Meridian Primary,Credit,Consumer,Andes Financial Group,IN,2024-08-03,2028-08-03,ACTIVE,2026-01-05
CARD00583,meridian primary,Prepaid,Consumer,Meridian Community Bank,JP,45402,04/20/2028,Active,2026-01-05
CARD00468,Meridian Direct,Credit,Consumer,Silverline Bank,AU,43525,2023-03-01,active,2026-01-05
CARD00368,Meridian Affiliate,Credit,Consumer,Northbridge Bank,US,43919,03/29/2024,active,2026-01-05
CARD00095,MERIDIAN DIRECT,Debit,Consumer,EuroTrust Bank,BR,2022-02-08,02/08/2026,Inactive,2026-01-05
CARD00620,Meridian Direct,Prepaid,Consumer,EuroTrust Bank,BR,45902,2029-09-02, Active,2026-01-05
CARD00272,Meridian Direct,Credit,Consumer,Harbor National Bank,IN,05/01/2025,05/01/2029,NULL,2026-01-05
CARD00252,meridian primary,Credit,Consumer,Crestview Bank,FR,2024-03-15,2028-03-15,ACTIVE,2026-01-05
