incident_id,component,start_ts,end_ts,duration_minutes,severity,ticket_id
INC00001,Network Switch,2024-01-04 02:59:00,2024-01-04 03:33:42,34.7,Critical,INC-10001
INC00002,Settlement Engine,2024-01-17 12:14:00,2024-01-17 12:51:06,37.1,Critical,INC-10002
INC00003,Network Switch,2024-02-04 22:56:00,2024-02-04 23:19:24,23.4,Major,INC-10003
INC00004,Settlement Engine,2024-02-16 12:55:00,2024-02-16 13:04:36,9.6,Minor,INC-10004
INC00005,Network Switch,2024-02-17 17:58:00,2024-02-17 18:35:30,37.5,Critical,INC-10005
INC00006,Network Switch,02/26/2024 11:21 AM,02/26/2024 11:27 AM,6.0,Minor,INC-10006
INC00007,Settlement Engine,02/26/2024 04:50 AM,02/26/2024 05:12 AM,22.5,Major,INC-10007
INC00008,API Gateway,02/28/2024 04:19 PM,02/28/2024 04:50 PM,31.7,Critical,INC-10008
INC00009,network switch,03/03/2024 06:24 AM,03/03/2024 06:53 AM,29.0,Major,INC-10009
INC00010,Network Switch,2024-03-11 18:47:00,2024-03-11 19:14:00,27.0,Major,
INC00011,API Gateway,2024-03-12 05:34:00,2024-03-12 05:55:30,21.5,Major,INC-10011
INC00012,Settlement Engine,2024-03-12 05:23:00,2024-03-12 06:03:54,40.9,Critical,INC-10012
INC00013,API Gateway,2024-04-03 09:14:00,2024-04-03 09:43:54,29.9,Major,INC-10013
INC00014,Network Switch,04/13/2024 06:14 PM,04/13/2024 06:56 PM,42.3,Critical,INC-10014
INC00015,Settlement Engine,05/25/2024 04:57 PM,05/25/2024 05:03 PM,6.3,Minor,INC-10015
INC00016,Settlement Engine,2024-05-27 10:32:00,2024-05-27 10:38:36,6.6,Minor,INC-10016
INC00017,Network Switch,06/19/2024 05:05 PM,06/19/2024 05:46 PM,41.5,Critical,INC-10017
INC00018,API Gateway,06/23/2024 06:34 PM,06/23/2024 06:41 PM,7.1,Minor,INC-10018
INC00019,Network Switch,2024-07-01 05:19:00,2024-07-01 05:36:12,17.2,Major,
INC00020,Network Switch,2024-07-02 21:04:00,2024-07-02 21:18:12,14.2,Minor,INC-10020
INC00021,API Gateway,07/18/2024 12:51 PM,07/18/2024 01:00 PM,9.8,Minor,INC-10021
INC00022,Settlement Engine,2024-07-27 01:40:00,2024-07-27 02:03:48,23.8,Major,INC-10022
INC00023,Network Switch,2024-08-07 01:00:00,2024-08-07 01:18:36,18.6,Major,INC-10023
INC00024,Settlement Engine,08/12/2024 06:02 AM,08/12/2024 06:06 AM,4.8,Minor,INC-10024
INC00025,settlement engine,08/31/2024 01:52 AM,08/31/2024 02:34 AM,42.1,Critical,INC-10025
INC00026,Settlement Engine,09/01/2024 10:32 AM,09/01/2024 10:56 AM,24.9,Major,
INC00027,Network Switch,2024-09-02 15:43:00,2024-09-02 16:09:06,26.1,Major,INC-10027
INC00028,API Gateway,2024-09-04 04:00:00,2024-09-04 04:17:18,17.3,Major,INC-10028
INC00029,API Gateway,2024-09-10 02:06:00,2024-09-10 02:20:42,14.7,Minor,INC-10029
INC00030,Network Switch,2024-09-17 03:42:00,2024-09-17 03:48:12,6.2,Minor,INC-10030
INC00031,settlement engine,2024-09-21 05:47:00,2024-09-21 06:29:30,42.5,Critical,INC-10031
INC00032,API Gateway,2024-09-26 00:48:00,2024-09-26 01:30:00,42.0,Critical,INC-10032
INC00033,Network Switch,2024-10-05 14:03:00,2024-10-05 14:20:18,17.3,Major,
INC00034,API Gateway,2024-10-22 04:51:00,2024-10-22 05:26:42,35.7,Critical,INC-10034
INC00035,Settlement Engine,10/24/2024 02:59 AM,10/24/2024 03:11 AM,12.3,Minor,INC-10035
INC00036,API Gateway,2024-11-08 12:47:00,2024-11-08 12:58:00,11.0,Minor,INC-10036
INC00037,network switch,11/26/2024 01:30 AM,11/26/2024 01:51 AM,21.5,Major,
INC00038,API Gateway,11/26/2024 11:03 AM,11/26/2024 11:25 AM,22.1,Major,INC-10038
INC00039,API Gateway,2024-11-29 12:51:00,2024-11-29 13:18:54,27.9,Major,INC-10039
INC00040,Settlement Engine,2024-12-01 05:18:00,2024-12-01 06:02:48,44.8,Critical,INC-10040
INC00041,Settlement Engine,12/07/2024 04:46 AM,12/07/2024 05:22 AM,36.3,Critical,INC-10041
INC00042,Settlement Engine,12/11/2024 11:03 AM,12/11/2024 11:22 AM,19.4,Major,INC-10042
INC00043,API Gateway,2024-12-19 13:09:00,2024-12-19 13:49:36,40.6,Critical,
INC00044,Network Switch,2024-12-27 16:14:00,2024-12-27 16:26:30,12.5,Minor,INC-10044
INC00045,Settlement Engine,2024-12-30 22:16:00,2024-12-30 22:22:18,6.3,Minor,
INC00046,settlement engine,01/05/2025 09:16 PM,01/05/2025 09:25 PM,9.4,Minor,INC-10046
INC00047,Settlement Engine,2025-01-18 06:03:00,2025-01-18 06:28:36,25.6,Major,INC-10047
INC00048,Network Switch,2025-01-20 05:45:00,2025-01-20 06:21:36,36.6,Critical,INC-10048
INC00049,Settlement Engine,2025-02-03 21:45:00,2025-02-03 21:59:00,14.0,Minor,INC-10049
INC00050,Network Switch,2025-02-12 18:59:00,2025-02-12 19:40:12,41.2,Critical,INC-10050
INC00051,Network Switch,2025-02-21 06:26:00,2025-02-21 06:38:42,12.7,Minor,INC-10051
INC00052,Network Switch,2025-03-02 22:11:00,2025-03-02 22:50:00,39.0,Critical,INC-10052
INC00053,API Gateway,2025-03-07 00:43:00,2025-03-07 00:49:48,6.8,Minor,INC-10053
INC00054,Settlement Engine,2025-03-15 01:37:00,2025-03-15 02:14:42,37.7,Critical,INC-10054
INC00055,settlement engine,04/09/2025 10:15 AM,04/09/2025 10:50 AM,35.8,Critical,INC-10055
INC00056,Network Switch,2025-04-25 16:52:00,2025-04-25 17:30:12,38.2,Critical,INC-10056
INC00057,Network Switch,05/01/2025 09:00 AM,05/01/2025 09:34 AM,34.7,Critical,INC-10057
INC00058,Network Switch,05/03/2025 05:05 AM,05/03/2025 05:31 AM,26.6,Major,INC-10058
INC00059,API Gateway,2025-05-09 11:53:00,2025-05-09 12:37:18,44.3,Critical,INC-10059
INC00060,Settlement Engine,2025-05-09 02:01:00,2025-05-09 02:41:30,40.5,Critical,INC-10060
INC00061,Settlement Engine,2025-05-21 21:20:00,2025-05-21 21:49:30,29.5,Major,
INC00062,API Gateway,2025-06-18 22:20:00,2025-06-18 22:28:18,8.3,Minor,INC-10062
INC00063,Settlement Engine,2025-07-09 09:54:00,2025-07-09 10:00:18,6.3,Minor,INC-10063
INC00064,Settlement Engine,2025-07-12 06:42:00,2025-07-12 07:02:30,20.5,Major,INC-10064
INC00065,API Gateway,2025-07-15 11:26:00,2025-07-15 11:48:36,22.6,Major,INC-10065
INC00066,settlement engine,2025-07-16 01:33:00,2025-07-16 01:53:24,20.4,Major,INC-10066
INC00067,API Gateway,2025-07-19 08:45:00,2025-07-19 08:54:42,9.7,Minor,INC-10067
INC00068,Settlement Engine,2025-08-08 07:35:00,2025-08-08 07:45:06,10.1,Minor,INC-10068
INC00069,API Gateway,08/30/2025 09:45 AM,08/30/2025 10:25 AM,40.7,Critical,
INC00070,API Gateway,09/08/2025 09:15 PM,09/08/2025 09:21 PM,6.1,Minor,INC-10070
INC00071,API Gateway,09/17/2025 05:34 AM,09/17/2025 06:06 AM,32.9,Critical,INC-10071
INC00072,Network Switch,09/19/2025 12:06 AM,09/19/2025 12:27 AM,21.8,Major,INC-10072
INC00073,API Gateway,09/23/2025 04:11 AM,09/23/2025 04:19 AM,8.1,Minor,INC-10073
INC00074,API Gateway,2025-10-03 20:36:00,2025-10-03 21:01:54,25.9,Major,
INC00075,Settlement Engine,10/20/2025 05:25 PM,10/20/2025 05:56 PM,31.1,Critical,INC-10075
INC00076,API Gateway,2025-10-25 12:23:00,2025-10-25 12:26:42,3.7,Minor,INC-10076
INC00077,Network Switch,2025-10-28 16:33:00,2025-10-28 17:05:30,32.5,Critical,
INC00078,API Gateway,2025-10-28 01:14:00,2025-10-28 01:47:54,33.9,Critical,INC-10078
INC00079,Settlement Engine,2025-10-30 18:35:00,2025-10-30 18:39:12,4.2,Minor,INC-10079
INC00080,Network Switch,11/09/2025 09:24 PM,11/09/2025 09:54 PM,30.5,Critical,INC-10080
INC00081,Settlement Engine,2025-11-14 13:38:00,2025-11-14 13:41:00,3.0,Minor,INC-10081
INC00082,Settlement Engine,11/30/2025 12:14 PM,11/30/2025 12:30 PM,16.8,Major,
INC00083,API Gateway,2025-12-08 04:43:00,2025-12-08 04:57:24,14.4,Minor,INC-10083
INC00084,API Gateway,2025-12-13 02:46:00,2025-12-13 03:07:54,21.9,Major,INC-10084
