 merchant_id,Merchant Name,MCC_Code,mcc_desc ,Country,Channel,Onboarded_Date,Status
MERC00238,Northgate Airways,4511,Airlines,IN,POS,2025-07-06,Inactive
MERC00396,Lakeside ATM,6011,Automated Teller Machines (ATM),FR,ATM  ,2017-08-07,Active 
MERC00081,Northgate Pharmacy,5912,Drug Stores & Pharmacies,CA,Both,30-03-2017,Active
MERC00031,Gréenway Department Store,5311,Department Stores,CA,Both,44166,Active
MERC00387,Northgate ATM,6011,Automated Teller Machines (ATM),AU,ATM,01-02-2024,Active
MERC00392,Cedar ATM,6011,Automated Teller Machines (ATM),US,ATM,44118,active
MERC00328,Fieldstone Resort,7011,"Hotels, Motels & Resorts",Canada, Both ,2019-12-27,INACTIVE
MERC00282,fieldstone general store  ,5999,Miscellaneous Retail,IN,POS,21-03-2023,Active
MERC00116,Skyline Service Station,5541,Service Stations (Fuel),SG,E-commerce,29-08-2024, Active
MERC00257,Greenway Games,7995,Entertainment & Gaming,IN,Both,18-08-2019,Active
MERC00343,Bluepeak Drug Store,5912,Drug Stores & Pharmacies,DE,Both,42443,Active
MERC00298,Lakeside Fuel Stop,5541,Service Stations (Fuel),us,Both  ,43099,active
MERC00241,Coastal Fresh Foods,5411,Grocery Stores & Supermarkets,br,E-commerce,03-01-2020,Active
MERC00338,Silverline Hotel,7011,"Hotels, Motels & Resorts",US,POS,43104,Active
MERC00341,Harborview Service Station,5541,Service Stations (Fuel),US,Both,27-10-2017,Active
MERC00053,Highland Tech Store,5732,Electronics Stores,BR,POS,22-02-2024, Active
MERC00247,Bluepeak Inn,7011,"Hotels, Motels & Resorts",US,POS,45594,Active
MERC00066,Fieldstone Health Mart,5912,Drug Stores & Pharmacies,BR,POS,42178,Active
MERC00264,Highland Department Store,5311,Department Stores,MX,POS,2023-02-14,INACTIVE
MERC00295,Cedar Electronics,5732,Electronics Stores,JP,Both,16-01-2024,Active
MERC00148,Silverline Department Store,5311,Department Stores,US,POS,12-05-2018,Active
MERC00061,Greenway Digital,5732,Electronics Stores,BR,E-commerce,20-11-2015,Active
MERC00090,Highland Pharmacy,5912,Drug Stores & Pharmacies,IN,Both,45296,Active
MERC00224,Riverside Inn,7011,"Hotels, Motels & Resorts",IN,Both,2024-02-27,Inactive
MERC00260,Old Town Diner,5812,Eating Places & Restaurants,CA,E-commerce,05-05-2025,Active
MERC00164,Silverline Hotel,7011,"Hotels, Motels & Resorts",AU,POS,03-11-2021,active
MERC00339,Greenway Diner,5812,Eating Places & Restaurants,fr,E-commerce,15-11-2016, Active
MERC00057,lakeside digital,5732,Electronics Stores,Canada,E-commerce,22-12-2024,active
MERC00389,Northgate ATM,6011,Automated Teller Machines (ATM),IN,ATM,08-04-2022,ACTIVE
MERC00027,Silverline Fresh Foods,5411,Grocery Stores & Supermarkets,MX,Both,21-03-2018,Active
MERC00099,Ironwood Arcade,7995,Entertainment & Gaming,US,Both,18-09-2016,Inactive
MERC00160,Union Emporium,5999,Miscellaneous Retail,GB,POS,25-10-2020,Active
MERC00370,Lakeside Drug Store,5912,Drug Stores & Pharmacies,jp,Both,2019-03-13,Active
MERC00219,Summit Retail Co.,5311,Department Stores,US,E-commerce,25-06-2020,inactive
MERC00091,Summit Department Store,5311,Department Stores,JP,Both,30-11-2024,Active 
MERC00015,Coastal Airways,4511,Airlines,US,POS,2023-12-26,Active
MERC00165,Highland Air,4511,Airlines,CA,E-commerce,16-02-2018,Active 
 MERC00236 ,Harborview Arcade,7995,Entertainment & Gaming,IN,POS,2019-04-03,Active
MERC00052,Ironwood Service Station,5541,Service Stations (Fuel),United Kingdom,POS,20-06-2025,Active
