Meridian Pay - Monthly Financial Summary (Internal Use Only),,,
Prepared by: Finance Analytics | Currency: USD,,,
,,,
Month,Gross Revenue (USD),Rebates & Incentives (USD),Operating Income (USD)
January 2024,211.82,77.71,64.4
February 2024,156.91,55.98,49.44
March 2024,271.29,98.08,86.92
April 2024,210.54,76.5,64.03
May 2024,195.68,70.4,61.91
June 2024,212.68,75.25,68.49
July 2024,198.59,68.56,64.29
August 2024,223.51,78.3,73.64
September 2024,211.2,70.64,69.04
October 2024,298.25,104.22,93.21
November 2024,252.42,84.67,82.54
December 2024,310.54,105.75,101.07
January 2025,246.36,83.39,83.32
February 2025,202.08,68.78,69.43
March 2025,326.25,109.66,108.94
April 2025,261.52,85.27,90.29
May 2025,258.35,82.59,89.24
June 2025,281.62,89.35,95.2
July 2025,329.45,104.27,113.84
August 2025,293.28,95.52,103.77
September 2025,287.38,91.95,105.89
October 2025,251.87,80.21,91.58
November 2025,373.53,116.55,133.04
December 2025,378.04,113.88,143.77
Total,6243.16,2087.48,2107.29
