month,country,Cross-Border Fees,Domestic Assessments,Other Network Fees,VAS - Cybersecurity,VAS - Data & Analytics,VAS - Fraud & Security Tools,VAS - Open Banking
2024-01-01,AU,2.94,2.7,0.37,0.91,0.64,0.68,0.34
2024-01-01,BR,29.6,3.02,0.46,1.88,1.09,1.42,0.79
2024-01-01,CA,17.27,2.29,0.27,0.93,0.73,0.87,0.43
2024-01-01,IN,9.07,6.39,0.83,2.44,1.77,2.16,1.01
2024-01-01,JP,4.06,1.11,0.39,1.05,0.77,0.85,0.35
2024-01-01,MX,7.04,1.67,0.26,0.93,0.57,0.87,0.32
2024-01-01,SG,0.83,0.74,0.13,0.16,0.11,0.14,0.07
2024-01-01,US,21.28,9.98,1.57,4.81,4.24,4.56,2.44
2024-02-01,AU,9.93,4.24,0.28,1.18,0.89,1.1,0.44
2024-02-01,BR,2.32,3.43,0.44,1.09,0.8,0.95,0.45
2024-02-01,CA,16.86,1.52,0.28,0.87,0.65,0.7,0.34
2024-02-01,IN,5.17,4.93,0.85,1.91,1.4,1.4,0.66
2024-02-01,JP,8.99,0.66,0.21,1.24,0.96,1.31,0.58
2024-02-01,MX,1.19,1.87,0.31,1.02,0.64,0.91,0.41
2024-02-01,SG,3.5,0.78,0.12,0.26,0.22,0.26,0.1
2024-02-01,US,5.75,11.04,1.1,2.92,2.73,3.19,1.49
2024-03-01,AU,3.56,1.8,0.4,1.87,1.27,1.68,0.73
2024-03-01,BR,8.47,1.94,0.34,1.07,0.87,1.02,0.52
2024-03-01,CA,29.28,0.51,0.29,1.71,1.21,1.5,0.77
2024-03-01,IN,32.06,7.73,0.78,5.26,3.9,4.46,2.22
2024-03-01,JP,5.18,1.42,0.27,0.93,0.67,0.69,0.32
2024-03-01,MX,5.25,5.71,0.32,1.63,1.56,1.41,0.74
2024-03-01,SG,2.16,1.57,0.19,1.07,0.77,0.77,0.44
2024-03-01,US,31.41,9.35,1.4,5.2,2.98,3.73,1.86
2024-04-01,AU,7.6,5.81,0.5,2.44,1.32,2.01,0.77
2024-04-01,BR,4.8,2.23,0.42,1.4,0.96,0.99,0.47
2024-04-01,CA,6.52,1.91,0.36,0.63,0.44,0.46,0.27
2024-04-01,IN,2.3,9.24,0.93,2.87,2.29,2.32,1.12
2024-04-01,JP,15.7,1.71,0.41,1.7,1.01,1.35,0.66
2024-04-01,MX,8.22,2.91,0.41,1.27,0.99,0.96,0.46
2024-04-01,SG,0.0,1.5,0.14,0.74,0.55,0.64,0.28
2024-04-01,US,32.41,15.32,1.33,5.05,3.65,4.57,2.41
2024-05-01,AU,10.22,5.07,0.66,1.48,1.06,1.45,0.6
2024-05-01,BR,7.54,1.3,0.42,1.41,1.04,1.1,0.56
2024-05-01,CA,15.58,2.02,0.29,1.24,0.91,1.21,0.6
2024-05-01,IN,6.35,6.68,0.98,2.41,1.7,2.38,0.93
2024-05-01,JP,2.71,1.47,0.28,0.75,0.54,0.61,0.3
2024-05-01,MX,8.72,1.67,0.38,0.63,0.55,0.64,0.32
2024-05-01,SG,0.25,2.46,0.26,0.85,0.58,0.82,0.36
2024-05-01,US,12.75,13.68,1.19,5.1,3.43,4.42,1.93
2024-06-01,AU,14.27,4.84,0.46,2.52,1.94,2.41,1.02
2024-06-01,BR,2.14,4.63,0.4,1.47,0.83,1.06,0.49
2024-06-01,CA,13.6,1.94,0.37,1.19,0.94,0.98,0.58
2024-06-01,IN,20.01,4.61,0.74,3.3,2.53,3.24,1.46
2024-06-01,JP,5.73,1.72,0.38,1.33,0.89,1.01,0.5
2024-06-01,MX,4.64,2.41,0.32,0.81,0.65,0.69,0.43
2024-06-01,SG,2.36,1.85,0.22,0.48,0.36,0.47,0.26
2024-06-01,US,15.19,13.2,1.24,4.89,3.4,4.42,2.15
2024-07-01,AU,11.75,5.93,0.49,2.8,1.83,2.07,0.94
2024-07-01,BR,5.87,3.32,0.38,1.43,1.17,1.41,0.66
2024-07-01,CA,10.64,4.66,0.36,1.62,1.2,1.19,0.76
2024-07-01,IN,3.51,6.34,0.96,3.15,2.47,2.86,1.25
2024-07-01,JP,7.06,1.08,0.28,0.61,0.38,0.48,0.25
2024-07-01,MX,1.72,1.83,0.28,1.49,1.11,1.48,0.6
2024-07-01,SG,1.17,2.81,0.2,0.87,0.56,0.7,0.42
2024-07-01,US,19.44,14.76,1.1,4.52,4.25,3.89,2.21
2024-08-01,AU,6.89,4.2,0.47,1.66,1.29,1.4,0.66
2024-08-01,BR,12.89,2.21,0.37,1.87,1.43,1.7,0.83
2024-08-01,CA,16.22,2.42,0.32,1.4,1.1,1.54,0.64
2024-08-01,IN,26.27,9.3,0.89,6.01,4.23,4.82,2.37
2024-08-01,JP,1.89,1.66,0.33,0.87,0.67,0.71,0.41
2024-08-01,MX,1.06,1.58,0.35,0.71,0.51,0.69,0.28
2024-08-01,SG,6.95,0.81,0.15,0.66,0.58,0.58,0.28
2024-08-01,US,5.08,15.96,1.39,7.12,4.5,4.76,3.06
2024-09-01,AU,16.05,4.12,0.56,2.3,1.6,1.52,0.95
2024-09-01,BR,25.82,3.95,0.6,1.69,1.43,1.61,0.77
2024-09-01,CA,4.57,1.53,0.31,0.84,0.75,0.82,0.42
2024-09-01,IN,15.98,8.59,0.86,2.41,1.6,1.88,1.2
2024-09-01,JP,3.28,2.26,0.37,1.04,0.73,0.9,0.56
2024-09-01,MX,0.7,2.49,0.38,1.78,1.23,1.22,0.61
2024-09-01,SG,6.99,0.97,0.26,0.64,0.44,0.61,0.27
2024-09-01,US,6.67,14.57,1.39,7.15,5.2,6.1,3.2
2024-10-01,AU,3.01,4.8,0.49,1.94,1.41,1.33,0.8
2024-10-01,BR,13.85,1.79,0.4,1.22,1.02,1.29,0.67
2024-10-01,CA,30.0,2.18,0.56,2.29,2.01,2.29,1.07
2024-10-01,IN,17.93,6.99,1.35,5.8,4.3,4.02,2.6
2024-10-01,JP,1.64,2.22,0.33,0.84,0.55,0.58,0.34
2024-10-01,MX,1.77,2.87,0.44,1.5,1.13,1.22,0.6
2024-10-01,SG,2.41,1.41,0.21,0.57,0.41,0.57,0.27
2024-10-01,US,20.28,13.56,1.65,7.38,4.51,6.56,3.02
2024-11-01,AU,1.43,3.53,0.48,1.75,1.39,1.4,0.83
2024-11-01,BR,4.14,3.37,0.62,1.49,1.12,1.31,0.71
2024-11-01,CA,5.39,3.32,0.5,1.01,0.63,0.81,0.44
2024-11-01,IN,12.45,9.13,1.36,5.59,3.47,4.23,2.05
2024-11-01,JP,4.59,3.24,0.5,0.88,0.66,0.79,0.38
2024-11-01,MX,1.56,5.92,0.46,1.91,1.31,1.93,1.03
2024-11-01,SG,2.7,3.07,0.36,1.63,1.1,1.44,0.64
2024-11-01,US,16.96,21.56,1.56,8.11,5.49,5.53,3.07
2024-12-01,AU,3.94,8.26,0.58,3.6,2.19,2.54,1.53
2024-12-01,BR,9.6,4.42,0.6,2.29,1.66,1.63,0.85
2024-12-01,CA,14.5,1.64,0.37,1.48,1.3,1.31,0.75
2024-12-01,IN,23.56,11.36,1.63,7.73,4.61,6.98,3.45
2024-12-01,JP,5.01,3.7,0.41,2.05,1.86,2.22,1.11
2024-12-01,MX,2.93,2.94,0.55,1.86,1.09,1.58,0.81
2024-12-01,SG,1.05,2.89,0.3,1.02,0.58,0.73,0.34
2024-12-01,US,44.79,17.48,1.58,8.8,5.96,7.72,3.86
2025-01-01,AU,4.26,5.44,0.42,1.58,0.96,1.31,0.61
2025-01-01,BR,13.89,2.66,0.46,2.52,1.4,1.97,0.92
2025-01-01,CA,12.68,3.38,0.42,2.04,1.56,1.81,0.96
2025-01-01,IN,3.51,12.66,1.06,3.87,3.04,3.56,1.8
