Period;Country_Code ;Cross-Border Fees;Domestic Assessments;Other Network Fees;VAS - Cybersecurity;VAS - Data & Analytics;VAS - Fraud & Security Tools;VAS - Open Banking
Jan-24;AE;1,63;1,99;0,11;0,70;0,58;0,68;0,32
Jan-24;DE;17,22;3,04;0,55;1,53;1,04;1,35;0,54
Jan-24;FR;5,16;2,28;0,30;0,62;0,35;0,46;0,23
Jan-24;GB;0,37;3,24;0,37;0,76;0,61;0,83;0,36
Feb-24;AE;0,00;2,84;0,21;0,72;0,50;0,52;0,27
Feb-24;DE;7,00;3,00;0,48;1,84;1,28;1,28;
Feb-24;FR;4,79;1,05;0,16;0,96;0,64;0,89;0,36
Feb-24;GB;4,05;2,19;0,38;0,72;0,47;0,56;0,31
Mar-24;AE;16,68;1,35;0,15;0,76;0,55;0,57;0,27
Mar-24;DE;7,73;2,44;0,34;1,96;1,25;1,31;0,76
Mar-24;FR;7,12;1,72;0,30;0,84;0,49;0,65;0,31
Mar-24;GB;10,19;2,30;0,35;1,49;1,20;1,38;0,61
Apr-24;AE;0,00;1,10;0,07;0,31;0,22;0,22;0,11
Apr-24;DE;3,60;2,47;0,44;1,14;0,77;0,94;0,59
Apr-24;FR;1,58;3,89;0,23;0,73;0,65;0,65;0,34
Apr-24;GB;12,09;3,49;0,47;1,33;1,16;1,53;0,69
May-24;AE;8,73;2,00;0,21;0,78;0,49;0,68;0,29
May-24;DE;3,38;4,36;0,62;2,13;1,62;2,06;0,95
May-24;FR;3,21;2,10;0,23;0,74;0,59;0,62;0,32
May-24;GB;7,92;2,26;0,34;1,31;1,04;1,33;0,53
Jun-24;AE;1,75;1,44;0,18;0,38;0,23;0,30;0,16
Jun-24;DE;1,20;3,30;0,35;1,78;1,05;1,19;0,68
Jun-24;FR;2,37;5,48;0,22;1,51;1,26;1,47;0,73
Jun-24;GB;11,54;3,04;0,49;1,44;1,07;1,39;0,71
Jul-24;AE;5,03;2,41;0,26;1,50;0,94;1,13;0,52
Jul-24;DE;1,83;3,65;0,51;1,13;0,85;1,11;0,56
Jul-24;FR;3,97;2,90;0,35;0,97;0,54;0,75;0,41
Jul-24;GB;0,50;4,26;0,44;1,98;1,16;1,58;0,78
Aug-24;AE;0,13;3,08;0,19;0,58;0,42;0,49;0,31
Aug-24;DE;3,17;2,69;0,40;1,04;0,63;0,93;0,39
Aug-24;FR;0,25;3,31;0,32;0,97;0,79;0,75;0,35
Aug-24;GB;;3,31;0,63;1,63;1,18;1,42;0,74
Sep-24;AE;0,17;2,52;0,21;0,46;0,33;0,49;0,23
Sep-24;DE;1,52;3,11;0,48;2,06;1,48;1,59;0,74
Sep-24;FR;3,33;2,48;0,24;0,59;0,43;0,47;0,29
Sep-24;GB;1,64;1,80;0,41;2,47;1,88;2,02;1,02
Oct-24;AE;16,07;1,54;0,11;1,12;0,84;0,81;0,41
Oct-24;DE;35,91;5,21;0,57;3,82;2,46;3,11;1,67
Oct-24;FR;1,50;2,91;0,42;1,32;0,93;1,26;0,63
Oct-24;GB;9,86;4,06;0,52;1,60;1,09;1,45;0,80
Nov-24;AE;3,88;3,56;0,39;1,21;0,84;1,01;0,46
Nov-24;DE;4,58;4,84;0,74;2,79;2,19;2,69;1,25
Nov-24;FR;24,39;2,44;0,27;1,64;1,21;1,38;0,69
Nov-24;GB;2,47;5,13;0,71;2,97;2,36;2,67;1,33
Dec-24;AE;0,86;2,40;0,28;0,65;0,50;0,46;0,31
Dec-24;DE;6,04;4,29;0,73;2,39;1,66;2,08;1,14
Dec-24;FR;10,50;4,45;0,47;1,83;1,26;1,96;0,84
Dec-24;GB;3,08;4,47;0,57;2,59;1,85;2,37;0,93
Jan-25;AE;3,56;3,55;0,23;1,21;0,87;0,93;0,60
Jan-25;DE;4,98;5,28;0,61;2,30;2,01;2,24;
Jan-25;FR;1,07;2,14;0,31;0,91;0,68;0,86;0,43
Jan-25;GB;19,23;2,80;0,71;2,49;1,57;2,20;1,00
Feb-25;AE;5,33;9,97;0,25;2,58;1,83;2,48;1,36
Feb-25;DE;2,14;1,94;0,41;1,11;0,85;0,97;0,50
Feb-25;FR;1,45;3,02;0,23;1,26;0,76;1,07;0,49
Feb-25;GB;2,51;5,29;0,44;1,97;1,26;1,76;0,83
Mar-25;AE;9,22;1,38;0,17;0,67;0,50;0,60;0,30
Mar-25;DE;12,27;4,75;0,71;2,84;2,26;2,90;1,24
Mar-25;FR;15,73;1,49;0,21;1,12;0,72;0,98;0,50
Mar-25;GB;;2,26;0,54;3,09;1,93;2,46;1,26
Apr-25;AE;0,00;4,02;0,26;0,98;0,78;0,89;0,43
Apr-25;DE;6,69;4,77;0,62;2,79;1,67;2,40;1,11
Apr-25;FR;1,67;4,99;0,42;2,50;1,59;1,63;1,00
Apr-25;GB;7,82;3,49;0,67;2,11;1,82;2,25;0,92
May-25;AE;;1,98;0,23;0,92;0,66;0,63;0,41
May-25;DE;5,28;4,78;0,62;2,95;1,92;2,38;1,27
May-25;FR;0,69;3,47;0,39;1,46;1,24;1,47;0,76
May-25;GB;11,64;6,34;0,54;2,71;2,11;2,75;1,16
Jun-25;AE;0,50;2,09;0,24;0,89;0,67;0,78;0,44
