transaction_id,txn_datetime,card_id,merchant_id,card_type,card_country,merchant_country,merchant_name,transaction_type,channel,amount,currency,status,is_cross_border,is_contactless,is_tokenized,switch_msg_count,is_fraud,fraud_amt,source_system,_ingested_at,Unnamed: 0
TXN0006666,2025-09-05T22:34:58Z,CARD00405,MERC00149,Credit,IN,IN,Northgate Gas & Go,Purchase,POS,38.25,INR,Approved,0,True,Y,3,0,0.0,ECOM-API,2025-09-05 23:49:58,6665
TXN0014505,08/22/2025 09:05,CARD00206,MERC00272,Debit,GB,GB,Silverline Entertainment,Purchase,POS,119.99,GBP,Approved,N,N,Y,3,N,0.0,ATM-NET,2025-08-22 11:13:26,14504
TXN0003983,1734721064,CARD00612,MERC00054,Credit,US,IN,Union Resort,Purchase,POS,56.89,USD,Approved,Y,Y,False,3,N,0.0,POS-GW-3,2024-12-20 20:26:44,3982
TXN0007156,2025-01-27T08:08:20Z,CARD00245,MERC00159,Debit,US,US,Metro Health Mart,Purchase,E-commerce,$629.17,USD,Approved,False,False,1,3,N,0.0,ATM-NET,2025-01-27 11:58:20,7155
TXN0002731,2025-11-16 18:05:05,CARD00278,MERC00200,Debit,US,US,Harborview Fuel Stop,Purchase,POS,120.0,USD,Approved,N,True,Y,3,False,0.0,ECOM-API,2025-11-16 19:16:05,2730
TXN0010174,2025-12-19 04:06:57,CARD00420,MERC00036,Credit,IN,IN,Harborview Games,Purchase,POS,35.92,INR,Approved,N,1,Y,3,0,0.0,POS-GW-3,2025-12-19 07:20:57,10173
TXN0004003,2024-07-11 06:16:38,CARD00291,MERC00351,Prepaid,JP,JP,Lakeside Tech Store,Purchase,E-commerce,26.8,JPY,Approved,0,False,N,3,N,0.0,POS-GW-3,2024-07-11 08:15:38,4002
TXN0013040,2025-05-14T13:40:22Z,CARD00448,MERC00047,Credit,CA,CA,Cedar Games,Purchase,E-commerce,93.26,CAD,Approved,0,N,1,3,False,0.0,ECOM-API,2025-05-14 16:33:22,13039
TXN0012332,2025-12-21 19:33:34,CARD00738,MERC00319,Debit,DE,US,Skyline Electronics,Purchase,POS,73.18,EUR,Approved,Y,True,N,3,0,0.0,ECOM-API,2025-12-21 21:38:34,12331
TXN0015489,2025-07-12T05:57:38Z,CARD00288,MERC00057,Credit,CA,CA,Lakeside Digital,Purchase,E-commerce,21.09,CAD,Approved,0,N,True,3,N,0.0,POS-GW-3,2025-07-12 07:39:38,15488
TXN0006759,2025-09-05T02:29:51Z,CARD00459,MERC00088,Credit,US,US,Silverline Airways,Purchase,POS,13.0,USD,Approved,False,1,N,3,0,0.0,ECOM-API,2025-09-05 04:45:51,6758
TXN0000052,2024-10-29T01:52:00Z,CARD00688,MERC00161,Debit,IN,IN,Silverline Service Station,Purchase,POS,$38.93,INR,Approved,N,True,True,3,N,0.0,ECOM-API,2024-10-29 02:52:00,51
TXN0002952,2025-03-26T19:50:45Z,CARD00779,MERC00388,Debit,IN,IN,Skyline ATM,ATM Withdrawal,ATM,20.0,INR,Approved,0,N,False,3,N,0.0,POS-GW-3,2025-03-26 20:22:45,2951
TXN0009019,1748008401,CARD00691,MERC00037,Credit,CA,CA,Greenway General Store,Purchase,POS,37.44,CAD,Approved,N,1,1,3,False,0.0,POS-GW-3,2025-05-23 15:12:21,9018
TXN0002494,2025-03-04T03:13:36Z,CARD00671,MERC00380,Debit,JP,JP,Union ATM,ATM Withdrawal,ATM,100.0,JPY,Approved,N,0,False,3,0,0.0,ECOM-API,2025-03-04 03:34:36,2493
TXN0015846,2025-04-18T19:44:24Z,CARD00012,MERC00179,Debit,AU,AU,  Silverline Fuel Stop,Balance Transfer,E-commerce,926.17,AUD,Approved,0,N,Y,3,N,0.0,ECOM-API,2025-04-18 22:05:24,15845
TXN0005955,2025-03-06 18:13:07,CARD00668,MERC00296,Credit,BR,BR,Bluepeak Bistro,Purchase,POS,32.88,BRL,Approved,N,Y,Y,3,False,0.0,ATM-NET,2025-03-06 21:22:07,5954
TXN0009807,2024-12-21 16:45:43,CARD00605,MERC00305,Debit,AE,AE,Northgate Service Station,Purchase,POS,16.26,AED,Approved,N,1,N,3,False,0.0,ECOM-API,2024-12-21 19:13:43,9806
