TXN_ID,TXN_DATE,CARD_NO,MERCH_ID,TYPE,AMT,CCY,STATUS,FLAG_INTL
TXN0011155,15-05-2024,CARD00146,MERC00357,PURCHASE,89.43,GBP,A,0
TXN0004747,45429,CARD00178,MERC00128,PURCHASE,56.08,GBP,A,0
TXN0007494,08-03-2024,CARD00040,MERC00293,PURCHASE,768.22,USD,A,1
TXN0002862,06-06-2024,CARD00345,MERC00049  , PURCHASE ,99.18,EUR,A,0
TXN0010241,16-05-2024,CARD00405,MERC00330,PURCHASE,82.46,INR,A,0
TXN0012248,12-04-2024,CARD00766,MERC00185,PURCHASE,86.3,GBP,A,0
TXN0007259,31-01-2024,CARD00542,MERC00215,PURCHASE,38.89,EUR,A,0
TXN0015466  ,16-06-2024,CARD00614,MERC00253,PURCHASE,715.0,SGD,A,0
TXN0008425,12-03-2024,CARD00221,MERC00170,PURCHASE,34.09,SGD,A,0
TXN0002572,04-02-2024,CARD00302,MERC00104,PURCHASE,113.74,EUR,A,0
TXN0012014,45437,CARD00605,MERC00318,PURCHASE,163.98,AED,A,0
  TXN0003506,25-05-2024,CARD00168,MERC00388,ATM WITHDRAWAL,100.0,INR,A,0
TXN0014964,20-01-2024,CARD00526,MERC00086,PURCHASE,30.78,MXN,A,0
TXN0005136,21-06-2024,CARD00027,MERC00305,PURCHASE,13.16,AED,A,0
TXN0011106,45368,CARD00318,MERC00324,PURCHASE,92.07,EUR,A,0
TXN0002654,45337,CARD00639,MERC00385,ATM WITHDRAWAL,$60.00,GBP,A,0
TXN0011447,20-02-2024,CARD00425,MERC00026,PURCHASE,89.68,GBP,A,0
TXN0004442,28-04-2024,CARD00259,MERC00138,PURCHASE,69.2,SGD,A,0
TXN0009723,10-04-2024,CARD00277,MERC00061,PURCHASE,51.67,BRL,A,0
TXN0006579,07-06-2024,  CARD00633,MERC00034,PURCHASE,78.49,CAD,A,0
TXN0000540,04-01-2024,CARD00038,MERC00384,ATM WITHDRAWAL,100.0,USD,A,0
TXN0006550,03-04-2024,CARD00012,MERC00031,PURCHASE,33.51,AUD,A,1
TXN0013848,17-04-2024,CARD00785,MERC00160,PURCHASE,87.2,GBP,A,0
TXN0000899  ,15-06-2024,CARD00625,MERC00175,PURCHASE,24.28,USD,A,0
TXN0000421,04-02-2024,CARD00155,MERC00324,PURCHASE,90.52,USD,A,1
TXN0014496,17-05-2024,CARD00079,MERC00111,PURCHASE,57.33,EUR,A,0
TXN0002190,45384,CARD00223,MERC00263,PURCHASE,3.08,BRL,A,0
TXN0013000,01-01-2024,CARD00483,MERC00177,PURCHASE,24.09,SGD,A,0
TXN0005017,45384,CARD00420,MERC00323,BALANCE TRANSFER,601.3,INR,A,0
TXN0015450,45330,CARD00481,MERC00061,PURCHASE,90.92,BRL,A,0
TXN0007770,45357,CARD00286,MERC00259,PURCHASE,55.03,EUR,A,0
TXN0001579,45413,CARD00481,MERC00166,PURCHASE,28.73,BRL,A,0
TXN0002612,30-04-2024,CARD00125,MERC00247,PURCHASE,31.07,USD,A,0
TXN0000337,16-01-2024,CARD00181,MERC00171,PURCHASE,565.63,SGD,A,1
TXN0011300,11-04-2024,CARD00372,MERC00311,BALANCE TRANSFER,346.42,AUD,A,0
TXN0003753,15-01-2024,CARD00207,MERC00228, CASH ADVANCE ,224.1,GBP,A,0
TXN0001869,28-01-2024,CARD00296,MERC00263,PURCHASE,7.39,BRL,A,0
TXN0009753,03-02-2024,CARD00356,MERC00159,PURCHASE,309.83,USD,A,0
TXN0014949,28-02-2024,CARD00649,MERC00173,PURCHASE,84.46,USD,D,0
TXN0008965,23-01-2024,CARD00134,MERC00143,PURCHASE,$114.19,USD,A,0
TXN0011880,23-02-2024,CARD00742,MERC00266,PURCHASE,66.86,CAD,A,0
TXN0003768,16-03-2024,CARD00795,MERC00393,ATM WITHDRAWAL,100.0,USD,A,0
TXN0003582,17-03-2024,CARD00699,MERC00013,PURCHASE,38.86,USD,A,0
TXN0008417,23-06-2024,CARD00704,MERC00007, PURCHASE ,38.9,AUD,A,0
TXN0012647,17-04-2024,CARD00770,MERC00284,PURCHASE,84.1,USD,A,0
TXN0004255,09-05-2024,CARD00748,MERC00270,PURCHASE,24.89,USD,A,0
TXN0000536,11-03-2024,CARD00328,MERC00218,BALANCE TRANSFER,1348.1,USD,A,0
TXN0007005,13-05-2024,CARD00109,MERC00187,PURCHASE,21.02,AUD,A,0
TXN0001677,13-04-2024,CARD00366,MERC00206,PURCHASE,356.88,USD,A,0
TXN0006751,45437,CARD00562,MERC00143,PURCHASE,74.18,USD,A,0
TXN0015955,25-05-2024,CARD00620 ,MERC00141,BALANCE TRANSFER,549.4,BRL,A,0
TXN0010656,15-06-2024,CARD00729,MERC00234,PURCHASE,114.26,GBP,A,0
TXN0004434,18-05-2024,CARD00739,MERC00187,PURCHASE,33.09,AUD,A,0
TXN0015173,10-04-2024,CARD00462,MERC00072,PURCHASE,30.87,CAD,A,0
TXN0007009,45397,CARD00029,MERC00051,CASH ADVANCE,199.66,USD,A,0
TXN0014909,01-06-2024,CARD00423,MERC00062,PURCHASE,246.97,EUR,A,0
TXN0012759,28-01-2024,CARD00144,MERC00139,PURCHASE,44.2,INR,A,0
TXN0011922,18-01-2024,CARD00713,MERC00107,PURCHASE ,46.02,CAD,A,0
TXN0013464,21-06-2024,CARD00054,MERC00187,PURCHASE,109.96,AUD,A,0
TXN0012040,15-03-2024,CARD00231,MERC00202,  PURCHASE,2353.58,BRL,A,1
TXN0008911,17-01-2024,CARD00036,MERC00128,PURCHASE,26.78,GBP,A,0
TXN0011223,19-02-2024,CARD00462,MERC00325,CASH ADVANCE,330.63,CAD,A,0
TXN0011818,45391,CARD00390,MERC00189,PURCHASE,49.33,GBP,A,0
TXN0000130,04-03-2024,  CARD00681,MERC00338,PURCHASE,32.74,USD,A,0
TXN0009896,16-03-2024,CARD00624,MERC00399,ATM WITHDRAWAL,150.0,CAD,A,1
TXN0015678,13-05-2024,CARD00016,MERC00332,PURCHASE,51.58,CAD,A,0
TXN0015315,03-06-2024,CARD00461,MERC00104,PURCHASE,64.84,EUR,A,0
TXN0015330,20-02-2024,CARD00332,MERC00233,PURCHASE,15.0,MXN,A,0
TXN0003848,10-03-2024,CARD00313,MERC00297,CASH ADVANCE,395.36,CAD,A,0
TXN0015665,14-06-2024,CARD00513,MERC00265,PURCHASE,28.35,USD,A,0
TXN0009322,03-03-2024,CARD00522,MERC00259,PURCHASE,201.02,EUR,A,0
TXN0003195,02-03-2024,CARD00658,MERC00389,ATM WITHDRAWAL,100.0,INR,A,0
TXN0010229,07-02-2024,CARD00778,MERC00282,PURCHASE,38.04,INR,A,0
TXN0002335,11-01-2024,CARD00168,MERC00376,ATM WITHDRAWAL,40.0,INR,A,0
TXN0015394,03-06-2024,CARD00064,MERC00250,PURCHASE,17.55,INR,A,0
TXN0003552,13-05-2024,CARD00799,MERC00262,PURCHASE,$35.16,AED,A,0
TXN0008254,23-01-2024,CARD00020,MERC00390,ATM WITHDRAWAL,100.0,MXN,A,0
TXN0010699,11-05-2024,CARD00551,MERC00180,PURCHASE,71.68,USD,A,0
TXN0001035,17-01-2024,CARD00252,MERC00222,PURCHASE,133.82,EUR,A,0
TXN0013369,02-04-2024,CARD00026,MERC00201,PURCHASE,20.4,USD,A,0
TXN0015062,19-06-2024,CARD00232,MERC00207,PURCHASE,155.8,EUR,A,1
TXN0005068,23-06-2024,CARD00779,MERC00242,CASH ADVANCE,101.8,INR,A,0
TXN0015504,02-06-2024,CARD00182,MERC00031,PURCHASE,761.45,BRL,A,1
TXN0007289,10-06-2024,CARD00260,MERC00087,BALANCE TRANSFER,299.26,USD,A,0
